ds_course,ds_tract,ds_distance,ds_type,ds_D01,ds_D01_pct,ds_D02,ds_D02_pct,ds_D03,ds_D03_pct,ds_D04,ds_D04_pct,ds_D05,ds_D05_pct,ds_D06,ds_D06_pct,ds_D07,ds_D07_pct,ds_D08,ds_D08_pct,ds_D09,ds_D09_pct,ds_D10,ds_D10_pct,ds_D11,ds_D11_pct,ds_D12,ds_D12_pct,ds_D13,ds_D13_pct,ds_D14,ds_D14_pct
ST,A,1000,1,4,13,0,0,1,3,1,3,2,6,3,10,2,6,2,6,2,6,4,13,1,3,2,7,1,3,5,21
ST,A,1200,1,16,8,18,9,11,5,15,8,14,7,15,8,18,9,19,10,5,2,14,8,9,5,11,6,8,5,14,10
ST,A,1400,1,16,8,11,5,16,8,15,7,16,8,22,11,13,6,13,6,11,5,13,7,14,7,8,4,14,8,12,7
ST,A,1600,1,5,5,11,10,11,10,8,8,17,17,2,1,7,7,8,8,7,7,6,6,5,5,6,7,5,6,3,4
ST,A,1800,1,2,5,3,7,9,22,4,10,4,10,4,10,1,2,1,2,3,8,1,2,4,13,2,6,1,4,1,5
ST,A,2000,1,8,18,5,11,4,9,3,6,6,13,4,9,1,2,4,9,3,8,2,6,1,3,2,7,0,0,1,6
ST,A,2400,1,1,7,1,7,0,0,3,21,0,0,0,0,3,23,3,30,2,25,1,16,0,0,0,0,0,0,0,0
ST,A3,1000,1,2,6,4,12,4,12,0,0,4,12,2,6,3,9,3,10,1,3,3,11,2,8,1,4,1,5,1,5
ST,A3,1200,1,6,7,10,12,5,6,8,9,6,7,5,6,8,9,10,12,4,4,4,5,4,5,7,9,1,1,4,6
ST,A3,1400,1,9,10,3,3,14,15,7,7,6,6,7,7,5,5,6,6,6,6,5,6,9,11,9,11,2,2,2,2
ST,A3,1600,1,6,14,2,5,5,12,6,14,4,10,4,9,2,4,0,0,1,2,3,8,1,2,2,6,3,11,2,7
ST,A3,1800,1,1,6,3,18,0,0,1,6,2,12,1,6,1,6,4,25,0,0,1,7,1,8,1,9,0,0,0,0
ST,A3,2000,1,5,17,3,10,3,10,2,6,1,3,5,17,4,13,1,3,3,10,1,4,0,0,0,0,1,7,0,0
ST,B,1000,1,1,2,6,17,2,5,2,5,9,26,0,0,1,3,4,13,2,7,3,10,1,3,1,4,2,10,1,5
ST,B,1200,1,6,6,6,6,5,5,9,10,12,13,7,7,4,4,10,11,5,6,6,7,6,8,5,7,4,6,4,7
ST,B,1400,1,7,8,6,7,4,4,5,6,7,8,10,12,8,9,10,12,4,5,7,9,3,3,7,9,4,6,0,0
ST,B,1600,1,4,11,3,8,3,8,4,11,5,13,5,13,3,8,3,9,1,3,3,10,0,0,2,8,0,0,0,0
ST,B,1800,1,2,25,0,0,0,0,0,0,0,0,2,25,0,0,1,12,0,0,1,16,1,16,1,16,0,0,0,0
ST,B,2000,1,3,10,2,7,3,10,3,10,5,17,2,7,1,3,4,14,1,4,1,5,1,5,2,13,0,0,0,0
ST,B,2200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,100,0,0,0,0,0,0,0,0,0,0
ST,B,2400,1,1,25,0,0,0,0,1,25,1,25,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST,B2,1000,1,3,12,0,0,1,4,3,12,1,4,2,8,3,12,5,21,2,8,0,0,1,5,2,12,1,6,1,6
ST,B2,1200,1,15,17,7,8,5,5,7,8,10,11,5,5,2,2,6,6,7,8,7,8,5,6,5,7,4,6,3,5
ST,B2,1400,1,12,13,8,8,12,13,8,8,5,5,6,6,4,4,5,5,7,8,8,9,5,5,2,2,3,3,4,5
ST,B2,1600,1,6,13,4,9,5,11,1,2,3,6,6,14,4,9,5,12,2,5,2,5,0,0,1,3,2,7,3,11
ST,B2,1800,1,0,0,3,15,1,5,0,0,2,10,2,10,0,0,2,10,2,10,1,5,0,0,4,30,0,0,2,18
ST,B2,2000,1,2,11,0,0,3,17,3,18,3,17,0,0,1,5,2,11,0,0,1,7,1,8,1,9,0,0,0,0
ST,B2,2200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,0,0
ST,C,1000,1,9,12,3,4,8,10,3,4,7,9,1,1,4,5,9,13,4,6,5,8,7,12,2,3,5,10,6,12
ST,C,1200,1,15,11,18,14,15,11,12,9,9,7,9,7,15,11,9,7,4,3,4,3,7,6,11,10,0,0,0,0
ST,C,1400,1,17,9,15,8,16,9,16,9,12,6,12,6,10,5,8,4,11,6,17,10,9,5,13,8,7,4,11,8
ST,C,1600,1,7,8,8,9,7,8,10,11,9,10,7,8,4,4,6,6,3,3,5,6,4,5,5,7,8,14,3,6
ST,C,1800,1,6,13,6,13,8,17,4,8,2,4,2,4,3,6,2,4,2,4,4,9,1,2,2,6,2,7,2,9
ST,C,2000,1,0,0,0,0,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ST,C,2200,1,0,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,1,33,1,33,0,0,0,0,0,0
ST,C3,1000,1,9,11,7,8,2,2,3,3,10,12,8,10,8,10,3,4,7,9,6,8,2,3,8,12,3,5,3,5
ST,C3,1200,1,18,15,10,8,10,8,8,6,8,7,11,9,6,5,11,9,6,5,9,8,6,5,13,13,0,0,0,0
ST,C3,1400,1,23,12,20,10,16,8,14,7,13,7,11,6,9,5,12,6,16,8,8,4,10,5,13,8,6,3,11,7
ST,C3,1600,1,9,13,9,13,7,10,6,8,6,8,6,8,4,6,1,1,6,9,3,4,6,10,2,4,2,4,1,2
ST,C3,1800,1,4,9,3,7,2,4,3,7,8,19,3,7,3,7,5,12,4,10,0,0,0,0,0,0,3,9,4,15
ST,C3,2200,1,3,37,0,0,0,0,0,0,1,12,2,25,0,0,1,14,0,0,1,16,0,0,0,0,0,0,0,0
HV,A,1000,1,14,21,5,7,8,11,5,7,2,3,6,9,9,13,6,9,0,0,6,10,3,5,3,5,0,0,0,0
HV,A,1200,1,25,11,28,12,18,8,29,13,31,13,23,10,14,6,8,3,14,6,13,5,12,5,7,3,0,0,0,0
HV,A,1650,1,28,17,19,11,12,7,17,10,14,8,9,5,9,5,11,6,13,8,15,9,9,5,8,5,0,0,0,0
HV,A,1800,1,3,5,8,14,8,14,5,8,5,9,5,8,3,5,5,9,7,13,1,2,3,6,3,6,0,0,0,0
HV,A,2200,1,4,20,2,10,3,15,0,0,2,10,0,0,4,21,0,0,1,5,3,21,1,7,0,0,0,0,0,0
HV,B,1000,1,8,10,6,8,7,9,4,5,7,9,6,8,5,6,9,12,7,9,5,6,6,8,5,8,0,0,0,0
HV,B,1200,1,34,15,28,13,31,14,18,8,17,7,18,8,14,6,12,5,15,7,8,3,11,5,11,5,0,0,0,0
HV,B,1650,1,21,12,24,14,15,8,24,14,11,6,16,9,18,10,12,7,9,5,9,5,7,4,7,5,0,0,0,0
HV,B,1800,1,2,4,6,13,4,9,5,11,2,4,6,13,4,9,5,11,4,9,3,7,0,0,3,7,0,0,0,0
HV,B,2200,1,2,16,0,0,1,8,1,8,2,16,0,0,2,16,1,9,0,0,2,18,0,0,1,11,0,0,0,0
HV,C,1000,1,3,6,4,8,6,12,6,12,9,18,4,8,7,14,1,2,3,6,2,4,3,6,2,5,0,0,0,0
HV,C,1200,1,33,16,25,12,28,13,18,9,12,5,14,6,14,7,10,4,9,4,16,8,13,6,10,5,0,0,0,0
HV,C,1650,1,11,7,18,12,14,9,14,9,19,12,13,8,14,9,12,8,13,8,9,6,6,4,7,5,0,0,0,0
HV,C,1800,1,4,8,4,8,6,12,3,6,4,8,3,6,5,10,5,10,1,2,5,12,4,10,3,8,0,0,0,0
HV,C,2200,1,3,21,1,7,0,0,3,21,1,7,1,7,3,21,0,0,2,15,0,0,0,0,0,0,0,0,0,0
HV,C3,1000,1,8,16,4,8,8,16,5,10,3,6,5,10,5,10,2,4,1,2,2,4,5,10,2,4,0,0,0,0
HV,C3,1200,1,41,26,16,10,13,8,9,5,15,9,10,6,8,5,9,5,16,10,9,5,7,4,4,2,0,0,0,0
HV,C3,1650,1,22,16,16,11,9,6,8,6,10,7,19,14,5,3,14,10,13,9,11,8,7,5,1,0,0,0,0,0
HV,C3,1800,1,7,25,1,3,0,0,3,11,2,7,1,3,6,23,4,14,2,7,1,4,0,0,0,0,0,0,0,0
HV,C3,2200,1,2,15,2,16,2,15,0,0,0,0,1,7,1,7,1,8,0,0,3,27,0,0,1,12,0,0,0,0
ST,D,1200,1,33,10,29,8,29,8,28,8,23,7,29,9,21,6,25,7,28,8,28,8,25,8,27,9,0,0,0,0
ST,D,1650,1,24,12,22,10,23,11,17,8,25,12,18,8,13,6,11,5,14,7,8,4,6,3,6,3,9,6,8,6
ST,D,1800,1,6,11,6,11,6,11,6,11,4,7,1,1,1,1,5,9,6,11,1,2,0,0,4,10,5,13,2,6
