r_season,r_date,r_index,r_course,r_class,r_distance,r_tract,r_race_no,r_horse_no,r_brand_no,r_horse_age,r_jockey,r_draw,r_rating,r_trainer,r_LBW,r_finish_order,r_label
1819,2018-09-02,001,ST,4,1000,B,01,3,B294,4,Purton,1,57,Gibson,0.75,2,2
1819,2018-09-02,001,ST,4,1000,B,01,1,A323,4,CWong,10,59,Millard,3.25,6,6
1819,2018-09-02,001,ST,4,1000,B,01,10,B231,4,Mo,6,42,Tsui,5.5,8,8
1819,2018-09-02,001,ST,4,1000,B,01,7,B102,5,Ho,8,49,Lui,7.25,9,9
1819,2018-09-02,002,ST,5,1600,B,02,7,B124,5,Mo,10,33,Shum,5.75,4,4
1819,2018-09-02,002,ST,5,1600,B,02,2,A012,6,Leung,9,35,Gibson,5.75,5,5
1819,2018-09-02,002,ST,5,1600,B,02,3,V406,5,Teetan,3,35,Ho,7,6,6
1819,2018-09-02,003,ST,1,1200,B,03,2,A025,6,Purton,4,120,Cruz,0.3,1,1
1819,2018-09-02,003,ST,1,1200,B,03,7,B180,5,Teetan,2,92,Gibson,2.5,3,3
1819,2018-09-02,003,ST,1,1200,B,03,1,A252,6,Schofield,1,123,Fownes,5.75,5,5
1819,2018-09-02,004,ST,5,1200,B,04,13,V088,6,CWong,7,24,Ting,0.15,1,1
1819,2018-09-02,004,ST,5,1200,B,04,10,A031,5,HNWong,6,29,Tsui,7.75,11,11
1819,2018-09-02,004,ST,5,1200,B,04,3,B133,4,Ho,8,37,Fownes,8.5,13,11
1819,2018-09-02,005,ST,4,1200,B,05,4,B034,4,Purton,9,54,Lor,0.75,1,1
1819,2018-09-02,005,ST,4,1200,B,05,5,A314,4,HNWong,3,54,So,0.75,2,2
1819,2018-09-02,005,ST,4,1200,B,05,11,A407,4,Schofield,7,45,Millard,1.5,3,3
1819,2018-09-02,005,ST,4,1200,B,05,8,B114,4,Teetan,2,50,Yung,1.75,4,4
1819,2018-09-02,005,ST,4,1200,B,05,1,A006,5,Callan,8,60,Gibson,3.5,6,6
1819,2018-09-02,005,ST,4,1200,B,05,12,A223,4,Chadwick,13,42,Yiu,7.5,11,11
1819,2018-09-02,006,ST,4,1400,B,06,7,A310,4,Schofield,4,53,Gibson,"",0,11
1819,2018-09-02,006,ST,4,1400,B,06,9,A075,5,HNWong,1,51,Yip,0.3,1,1
1819,2018-09-02,006,ST,4,1400,B,06,2,B076,4,Purton,5,57,Cruz,0.3,2,2
1819,2018-09-02,006,ST,4,1400,B,06,8,B067,5,Yeung,3,51,Tsui,2.75,5,5
