,Race_Index,Horse_no,Pred_Position,r_finish_order,r_horse_no
0,1,1,13,5,1
1,1,2,10,11,2
2,1,3,9,6,3
3,1,4,1,12,4
4,1,5,12,8,5
5,1,6,3,9,6
6,1,7,6,2,7
7,1,8,8,14,8
8,1,9,14,4,9
9,1,10,5,10,10
10,1,11,11,13,11
11,1,12,2,1,12
12,1,13,7,3,13
13,1,14,4,7,14
0,2,1,7,6,1
1,2,2,1,8,2
2,2,3,2,4,3
3,2,4,3,3,4
4,2,5,4,1,5
5,2,6,8,2,6
6,2,7,6,5,7
7,2,8,5,7,8
0,3,1,1,1,1
1,3,2,6,5,2
2,3,3,2,10,3
3,3,4,9,7,4
4,3,5,3,2,5
5,3,6,10,8,6
6,3,7,8,12,7
7,3,8,4,9,8
8,3,9,12,6,9
9,3,10,11,11,10
10,3,11,5,4,11
11,3,12,7,3,12
0,4,1,13,13,1
1,4,2,1,2,2
2,4,3,8,7,3
3,4,4,2,3,4
4,4,5,10,9,5
5,4,6,9,10,6
6,4,7,11,11,7
7,4,8,3,4,8
8,4,9,5,6,9
9,4,10,7,5,10
10,4,11,4,8,11
11,4,12,6,1,12
12,4,13,12,12,13
0,5,1,6,1,1
1,5,2,1,6,2
2,5,3,8,10,3
3,5,4,2,4,4
4,5,5,13,8,5
5,5,6,12,7,6
6,5,7,3,5,7
7,5,8,11,2,8
8,5,9,4,12,9
9,5,10,7,9,10
10,5,11,10,14,11
11,5,12,14,11,12
12,5,13,5,3,13
13,5,14,9,13,14
0,6,1,14,6,1
1,6,2,1,8,2
2,6,3,2,4,3
3,6,4,12,11,4
4,6,5,9,13,5
5,6,6,3,1,6
6,6,7,10,2,7
7,6,8,6,9,8
8,6,9,7,3,9
9,6,10,8,14,10
10,6,11,4,7,11
11,6,12,11,10,12
12,6,13,13,5,13
13,6,14,5,12,14
0,7,1,6,5,1
1,7,2,4,6,2
2,7,3,5,7,3
3,7,4,8,11,4
4,7,5,9,10,5
5,7,6,11,8,6
6,7,7,1,9,7
7,7,8,2,4,8
8,7,9,10,1,9
9,7,10,7,3,10
10,7,11,3,2,11
0,8,1,9,9,1
1,8,2,10,2,2
2,8,3,6,13,3
3,8,4,1,4,4
4,8,5,12,8,5
5,8,6,7,11,6
6,8,7,2,6,7
7,8,8,3,1,8
8,8,9,5,12,9
9,8,10,11,3,10
10,8,11,8,10,12
11,8,12,4,7,13
12,8,13,13,5,14
0,9,1,4,6,1
1,9,2,1,4,2
2,9,3,2,2,3
3,9,4,6,7,4
4,9,5,7,9,5
5,9,6,5,8,6
6,9,7,12,5,7
7,9,8,13,12,8
8,9,9,3,1,9
9,9,10,9,11,10
10,9,11,10,3,11
11,9,12,8,10,12
12,9,13,11,13,13
0,10,1,9,4,1
1,10,2,1,1,2
2,10,3,6,8,3
3,10,4,2,10,4
4,10,5,8,7,5
5,10,6,3,13,6
6,10,7,4,5,7
7,10,8,12,11,8
8,10,9,5,2,9
9,10,10,13,12,10
10,10,11,10,3,11
11,10,12,11,6,12
12,10,13,7,9,13
0,11,1,5,6,1
1,11,2,7,10,2
2,11,3,8,11,3
3,11,4,12,12,4
4,11,5,10,5,5
5,11,6,1,2,6
6,11,7,9,7,7
7,11,8,6,3,8
8,11,9,2,4,9
9,11,10,3,1,10
10,11,11,11,8,11
11,11,12,4,9,12
0,12,1,10,9,1
1,12,2,1,1,2
2,12,3,2,3,3
3,12,4,6,10,4
4,12,5,3,7,5
5,12,6,5,11,6
6,12,7,12,8,7
7,12,8,8,4,8
8,12,9,4,2,9
9,12,10,11,5,10
10,12,11,9,6,11
11,12,12,7,12,12
0,13,1,10,2,1
1,13,2,1,3,2
2,13,3,2,12,3
3,13,4,7,6,4
4,13,5,6,7,5
5,13,6,3,1,6
6,13,7,4,4,7
7,13,8,11,5,8
8,13,9,12,11,9
9,13,10,5,9,10
10,13,11,8,8,11
11,13,12,9,10,12
0,14,1,5,8,1
1,14,2,7,12,2
2,14,3,12,11,3
3,14,4,6,10,4
4,14,5,4,2,5
5,14,6,11,7,6
6,14,7,10,6,7
7,14,8,1,4,8
8,14,9,2,1,9
9,14,10,9,9,10
10,14,11,3,3,11
11,14,12,8,5,12
0,15,1,6,4,1
1,15,2,1,1,2
2,15,3,2,2,3
3,15,4,4,3,4
4,15,5,5,10,5
5,15,6,3,7,6
6,15,7,12,6,7
7,15,8,7,9,8
8,15,9,11,12,9
9,15,10,8,5,10
10,15,11,9,8,11
11,15,12,10,11,12
0,16,1,1,3,1
1,16,2,8,7,2
2,16,3,2,6,3
3,16,4,6,8,4
4,16,5,10,9,5
5,16,6,3,2,6
6,16,7,4,4,7
7,16,8,5,1,8
8,16,9,9,10,9
9,16,10,7,5,10
0,17,1,3,7,1
1,17,2,7,9,2
2,17,3,1,1,3
3,17,4,10,3,4
4,17,5,5,6,5
5,17,6,6,2,6
6,17,7,12,12,7
7,17,8,11,4,8
8,17,9,2,5,9
9,17,10,4,8,10
10,17,11,9,10,11
11,17,12,8,11,12
0,18,1,6,3,2
1,18,2,5,4,3
2,18,3,4,1,4
3,18,4,11,10,5
4,18,5,8,6,6
5,18,6,1,7,7
6,18,7,2,11,8
7,18,8,7,5,9
8,18,9,9,9,10
